head,slug,canonical_url,discussed,books,pages,wikidata,viaf,gnd,geonames
австралийские аборигены,avstraliiskie-aborigeny,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/avstraliiskie-aborigeny/,,mumintroll,130,Q12060728,,,
англичане,anglichane,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/anglichane/,1,mumintroll,83 84 94 147 172 173 296,Q42406,,,
арабы,araby,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/araby/,1,mumintroll,58 168 211 213 220 222 223 229 296,Q35323,,4002528-7,
арии,arii,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/arii/,,mumintroll,,Q179733,,,
баски,baski,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/baski/,,mumintroll,135,Q126756,,4004644-8,
белорусы,belorusy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/belorusy/,1,mumintroll,204 206,Q483569,,4119038-5,
болгары,bolgary,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/bolgary/,,mumintroll,199,Q133255,,4088623-2,
варяги,varyagi,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/varyagi/,1,mumintroll,57 178,Q48343,,,
венгры,vengry,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/vengry/,,mumintroll,27,Q133032,,4100008-0,
венеты,venety,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/venety/,,mumintroll,61,,,,
вентичи,ventichi,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/ventichi/,,mumintroll,62,,,,
вологодские,vologodskie,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/vologodskie/,,mumintroll,204,,,,
вятичи,vyatichi,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/vyatichi/,,mumintroll,62,,,,
германцы,germantsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/germantsy/,1,mumintroll,56 59 60 184,,,,
готы,goty,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/goty/,,mumintroll,184,,,,
греки,greki,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/greki/,,mumintroll,141,Q539051,,,
дасью,dasyu,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/dasyu/,,mumintroll,,,,,
датчане,datchane,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/datchane/,1,mumintroll,59 60,Q164714,,,
европейцы,evropeitsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/evropeitsy/,1,mumintroll,135 145 146,,,,
индийцы,indiitsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/indiitsy/,1,mumintroll,136 155 167 169 173 204,,,,
индийцы древние,indiitsy-drevnie,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/indiitsy-drevnie/,,mumintroll,147,,,,
индийцы современные,indiitsy-sovremennye,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/indiitsy-sovremennye/,,mumintroll,145,,,,
индоевропейцы,indoevropeitsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/indoevropeitsy/,1,mumintroll,136 137,Q475027,,,
кривичи,krivichi,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/krivichi/,,mumintroll,61,Q48287,,,
кривичи древние,krivichi-drevnie,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/krivichi-drevnie/,,mumintroll,61,,,,
Крита население древнейшее,krita-naselenie-drevneishee,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/krita-naselenie-drevneishee/,,mumintroll,121,,,,
критяне древние,krityane-drevnie,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/krityane-drevnie/,,mumintroll,62,,,,
кроманьонцы,kromanontsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/kromanontsy/,,mumintroll,90,,,,
латыши,latyshi,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/latyshi/,1,mumintroll,61 146,Q49540,,,
латыши древние,latyshi-drevnie,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/latyshi-drevnie/,,mumintroll,61,,,,
литовцы,litovtsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/litovtsy/,1,mumintroll,56 65 206,Q186192,,4035937-2,
немецкий народ,nemetskii-narod,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/nemetskii-narod/,,mumintroll,58,,,,
немцы,nemtsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/nemtsy/,1,mumintroll,59 61,Q42884,,4070334-4,
новгородцы,novgorodtsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/novgorodtsy/,1,mumintroll,57 179 200 204 310 311 314,,,,
новгорожане,novgorozhane,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/novgorozhane/,,mumintroll,310,,,,
норвежцы,norvezhtsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/norvezhtsy/,1,mumintroll,59 82,Q188779,,,
норманны,normanny,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/normanny/,1,mumintroll,82 178,Q83418,,4042620-8,
ордынцы,ordyntsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/ordyntsy/,,mumintroll,,,,,
папуасы,papuasy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/papuasy/,1,mumintroll,90 130,Q424129,,4044567-7,
печенеги,pechenegi,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/pechenegi/,,mumintroll,187,,,,
половцы,polovtsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/polovtsy/,,mumintroll,186,Q1035516,,,
поляки,polyaki,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/polyaki/,,mumintroll,199,Q1026,,,
прусы,prusy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/prusy/,,mumintroll,56,,,,
псковские,pskovskie,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/pskovskie/,,mumintroll,204,,,,
римляне,rimlyane,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/rimlyane/,1,mumintroll,56 60 134,,,,
русские,russkie,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/russkie/,1,mumintroll,55 57 60 63 145 147 179 238 241,Q49542,,4051034-7,
русские vs. венеты,russkie-vs-venety,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/russkie-vs-venety/,,mumintroll,61,,,,
русские нынешние,russkie-nyneshnie,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/russkie-nyneshnie/,,mumintroll,178,,,,
русский [люди],russkii-lyudi,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/russkii-lyudi/,,mumintroll,328,,,,
русский [человек],russkii-chelovek,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/russkii-chelovek/,1,mumintroll,146 151 172 238 239,,,,
русы (русские),rusy-russkie,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/rusy-russkie/,,mumintroll,,,,,
сербы,serby,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/serby/,,mumintroll,199,Q127885,,,
скифы,skify,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/skify/,,mumintroll,52,Q131802,,4055278-0,
славяне,slavyane,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/slavyane/,1,mumintroll,57 60 84 145,Q40477,,4077491-0,
славяне восточные,slavyane-vostochnye,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/slavyane-vostochnye/,,mumintroll,200,,,,
славяне древние,slavyane-drevnie,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/slavyane-drevnie/,,mumintroll,200,,,,
татары,tatary,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/tatary/,,mumintroll,204,Q35565,,4078164-1,
украинцы,ukraintsy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/ukraintsy/,,mumintroll,206,Q44806,,4061497-9,
финны,finny,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/finny/,1,mumintroll,59 61 62 190,Q170284,,,
франки,franki,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/franki/,1,mumintroll,56 57,,,,
французский народ,frantsuzskii-narod,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/frantsuzskii-narod/,,mumintroll,58,,,,
французы,frantsuzy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/frantsuzy/,1,mumintroll,56 58 60 64 82 84 125 147 204 238 296,Q120068720,,,
хазары,khazary,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/khazary/,,mumintroll,,Q173282,,4009796-1,
чехи,chekhi,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/chekhi/,1,mumintroll,146 199,Q170217,,,
швабы,shvaby,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/shvaby/,,mumintroll,58,Q1970302,,,
шведы,shvedy,https://gasyoun.github.io/BookIndex/ethnonyms/list/item/ethnonyms/shvedy/,1,mumintroll,59 190,Q165192,,,
